Pathway Name | Pathway Frame-id | Pathway Class | Pathway Class Frame-id | Pathway Frequency Score | Pathway Score | Pathway URL

beta-alanine biosynthesis IV|PWY-5760|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|2.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5760
gamma-linolenate biosynthesis II (animals)|PWY-6000|gamma-Linolenate Biosynthesis|Gamma-linolenate-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6000
(1,4)-beta-xylan degradation|PWY-6717|Xylan Degradation|Xylan-Degradation|10.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6717
(R)-acetoin biosynthesis II|PWY-5939|Acetoin Biosynthesis|Acetoin-Biosynthesis|3.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5939
1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)|PWY-6361|Phytate Biosynthesis|Phytate-Biosynthesis|0.8|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6361
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA|PWY-5652|||2.0|0.25|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5652
2-ketoglutarate dehydrogenase complex|PWY-5084|||1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5084
2-methylcitrate cycle I|PWY0-42|2-Methylcitrate Cycle|Methyl-Citrate-Cycle|0.6|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-42
3-dehydroquinate biosynthesis I|PWY-6164|3-Dehydroquinate Biosynthesis|3-Dehydroquinate-Biosynthesis|2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6164
3-phosphoinositide biosynthesis|PWY-6352|||0.875|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6352
3-phosphoinositide degradation|PWY-6368|||0.33333334|0.22222222|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6368
4-aminobutyrate degradation I|PWY-6535|4-Aminobutyrate Degradation|4-Aminobutyraye-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6535
4-aminobutyrate degradation II|PWY-6537|4-Aminobutyrate Degradation|4-Aminobutyraye-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6537
4-aminobutyrate degradation III|PWY-6536|4-Aminobutyrate Degradation|4-Aminobutyraye-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6536
4-hydroxybenzoate biosynthesis I (animals)|PWY-5754|4-Hydroxybenzoate Biosynthesis|4-Hydroxybenzoate-Biosynthesis|0.6|0.2|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5754
5-aminoimidazole ribonucleotide biosynthesis I|PWY-6121|5-Aminoimidazole Ribonucleotide Biosynthesis|AIR-Biosynthesis|1.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6121
5-aminoimidazole ribonucleotide biosynthesis II|PWY-6122|5-Aminoimidazole Ribonucleotide Biosynthesis|AIR-Biosynthesis|1.2|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6122
